Year,Target Concept,Sentence With Concepts,Context Words
1979,偏见,1,"['时代', '大大', '不同', '了', '但', '不能', '认为', '产生', '各种', '的', '认识', '原因', '和', '社会', '原因', '就', '都', '不']"
1979,偏见,2,"['至于', '那些', '怀着', '阶级', '的', '对', '社会主义', '制度', '恶意', '攻击', '的', '人', '让', '其']"
1979,偏见,3,"['技术人员', '的', '积极性', '吉化', '党委', '坚决', '打破', '形而上学', '的', '不拘一格', '用', '人才', '做到', '三个', '不', '受限制', '一是', '不受']"
1979,偏见,4,"['会议', '谴责', '种族主义', '和', '种族', '的', '宣言', '说', '一切', '旨在', '保持', '种族隔离', '和', '种族歧视']"
1979,偏见,5,"['的', '语气', '形式', '和', '用词', '指出', '它', '是', '有', '的']"
1979,偏见,6,"['但', '某些', '人有', '一种', '一提', '自由', '就', '斥之为', '资产阶级', '自由化']"
1979,偏见,7,"['而且', '要', '抛开', '所谓', '出身', '低贱', '非亲非故', '十全十美', '等', '在', '更', '大', '范围', '内', '进行', '选拔']"
1979,偏见,8,"['的', '广大干部', '认识', '到', '继续', '解放思想', '落实', '党的政策', '扫除', '理直气壮', '地', '恢复', '和', '完善', '行之有效', '的', '劳动', '管理制度']"
1979,偏见,9,"['的', '人', '对', '中国', '人民', '怀有', '的', '狭隘', '民族', '为', '增进', '中', '美', '两国人民', '间', '的', '相互了解', '和']"
1979,偏见,10,"['但', '常常', '被', '一些', '幼稚', '的', '青年', '或是', '带有', '的', '人们', '所', '忽视', '的', '道理', '明明白白', '地', '倾注']"
1979,偏见,11,"['历史', '接受', '教训', '解放思想', '继续', '破除', '闭关自守', '夜郎自大', '的', '积极', '展开', '国际', '间', '的', '经济', '文化交流', '学习', '先进']"
1979,偏见,12,"['无识', '之', '人', '其', '平日', '对于', '贵国', '人', '之', '至此', '逐渐', '消灭', '而', '美国', '国人', '对华', '之', '感情']"
1979,偏见,13,"['打破', '长期', '中世纪', '宗教', '统治', '下', '形成', '的', '种种', '曾经', '仔细分析', '过', '阻碍', '人们', '认识', '真理', '的', '种种原因']"
1979,偏见,14,"['我们', '有些', '同志', '养成', '了', '对', '知识分子', '的', '一种', '一种', '左倾', '情绪']"
1979,偏见,15,"['这些', '存有', '的', '人', '除了', '受', '极左', '路线', '影响', '以外', '有']"
1979,偏见,16,"['他', '要求', '伊朗', '允许', '中立', '的', '不抱', '的', '观察员', '探望', '美国', '人质']"
1979,偏见,17,"['运动', '但', '并未', '能', '摆脱', '资产阶级', '对', '群众运动', '的']"
1979,偏见,18,"['的', '束缚', '中', '解放出来', '从', '各种', '剥削阶级', '的', '思想', '中', '解放出来', '使', '文化', '工作', '从', '内容', '到', '形式']"
1979,偏见,19,"['实现', '这个', '真理', '而', '斗争', '而', '资产阶级', '出于', '阶级', '对于', '这个', '真理', '总是', '视而不见', '讳莫如深']"
1979,偏见,20,"['中', '发掘', '人才', '培养人才', '应该', '打破', '任何', '的', '狭隘', '应该', '具有', '极高', '的', '知人善任', '的', '才能']"
1979,偏见,21,"['无情地', '揭露', '小', '资产阶级', '民主派', '关于', '自由', '平等', '的', '同', '这些', '作', '无情', '的', '斗争', '资产阶级', '民主派', '关于', '自由', '平等', '的', '同', '这些', '作', '无情', '的', '斗争']"
1979,偏见,22,"['她', '坚持', '彻底', '的', '唯物主义', '没有', '任何', '剥削阶级', '的', '因而', '也', '是', '彻底', '的', '无所畏惧', '的', '改革者']"
1979,偏见,23,"['社会', '原因', '造成', '的', '具有', '普遍性', '的', '迷信', '或']"
1979,偏见,24,"['七连', '党支部', '委员会', '的', '模范行动', '打破', '了', '这种']"
1979,偏见,25,"['这', '掌声', '突然', '之间', '改变', '了', '人们', '的', '社会', '使', '小', '觉得', '自己', '不是', '迷途', '的', '羔羊', '而是']"
1979,偏见,26,"['的', '是', '对', '她', '那种', '科学态度', '即', '不', '抱', '不', '盲目', '否定', '祖国', '古老', '医术', '而且', '善于', '继承']"
1979,偏见,27,"['至于', '那些', '怀着', '阶级', '的', '对', '社会主义', '制度', '恶意', '攻击', '的', '人', '就', '当然']"
1979,偏见,28,"['只能', '限于', '片面', '的', '了解', '这是', '由于', '剥削阶级', '的', '经常', '歪曲', '社会', '的', '历史', '也', '由于', '狭小', '的']"
1979,偏见,29,"['知识分子', '的', '进步', '而且', '对', '知识分子', '产生', '了', '一种', '和', '厌恶', '心理']"
1979,偏见,30,"['达成协议', '并', '发表', '了', '英联邦', '关于', '种族主义', '和', '种族', '的', '卢萨卡', '宣言']"
1979,偏见,31,"['但是', '无产阶级', '虽然', '不', '受', '阶级', '的', '限制', '仍然', '不能不', '受', '历史', '条件', '的', '限制']"
1979,偏见,32,"['年长', '日久', '不少', '同志', '已经', '形成', '了', '一种', '政治', '宁', '左', '勿', '右', '似乎', '说', '领导权', '掌握', '在']"
1979,偏见,33,"['有些', '人', '的', '脑子里', '装着', '一些', '抵触', '东西', '自满', '自以为是', '个人利益', '等', '因而', '提不起', '上', '进', '情绪', '甚至']"
1979,偏见,34,"['的', '热望', '进步', '和', '幸福', '的', '工人阶级', '将', '毫无', '地', '实行', '社会舆论', '所', '提出', '的', '一切', '有益', '的']"
1979,偏见,35,"['这个', '为', '不结盟运动', '准备', '的', '宣言', '草案', '是', '有', '的', '宣言', '实质', '上', '是', '一个', '结盟', '宣言']"
1979,偏见,36,"['一项', '最后', '公报', '和', '英联邦', '关于', '种族主义', '和', '种族', '的', '卢萨卡', '宣言']"
1979,偏见,37,"['我们', '就', '必须', '把', '由于', '各', '民族', '之间', '的', '所', '产生', '的', '偏向', '逐步', '地', '减少', '下去']"
1979,偏见,38,"['就', '同', '罢官', '的', '处分', '联系', '起来', '的', '社会']"
1979,偏见,39,"['的', '哈瓦那', '宣言', '草案', '时称', '它', '是', '一项', '有', '的', '宣言', '因为', '它', '在', '谴责', '西方', '国家', '在']"
1979,偏见,40,"['当然', '这种', '是', '在', '过去', '若干年', '的', '现实生活', '中', '形成', '的', '过去', '若干年', '的', '现实生活', '中', '形成', '的', '要', '改变', '必须', '改变', '造成', '这种', '的', '某些', '政策', '制度', '形成', '的', '要', '改变', '必须', '改变', '造成', '这种', '的', '某些', '政策', '制度', '做法', '等']"
1979,偏见,41,"['说', '的', '旧', '东西', '包括', '资产阶级', '的', '人生观', '阶级', '思想', '感情', '生活', '方式']"
1979,偏见,42,"['要是', '不', '同意', '就', '被', '苏联', '扣', '上', '民族主义', '利己主义', '闭关自守', '背离', '国际主义', '反苏', '主义', '亲', '西方', '主义']"
1979,偏见,43,"['文章', '说', '古巴', '是', '个', '有', '的', '国家', '因为', '它', '自己', '也', '从不', '否认', '它']"
1979,偏见,44,"['思想', '上', '消除', '了', '十多年', '来', '形成', '的', '许多']"
1979,偏见,45,"['老赵', '认为', '自由', '讨论会', '乱了套', '恐怕', '同', '这种', '有关']"
1979,偏见,46,"['的', '嘲讽', '了', '对', '中国', '文明', '的', '无知', '和']"
1979,偏见,47,"['同志', '却', '往往', '缺乏', '这种', '不', '受', '任何', '权威', '迷信', '的', '束缚', '进行', '独立思考', '的', '精神']"
1979,偏见,48,"['无产阶级', '中', '不可避免', '的', '种种', '行会', '狭隘性', '或', '行会', '的', '传统', '和', '恶习', '并', '领导', '全体', '无产阶级', '的']"
1979,偏见,49,"['就是', '缺德', '昧着良心', '诅咒', '红日', '就是', '怀着', '阶级', '的', '对', '社会主义', '制度', '恶毒攻击']"
1979,偏见,50,"['顾忌', '地', '施加压力', '并用', '讹诈', '来', '宣扬', '他们', '的', '使', '所有', '致力于', '巩固', '在', '万隆', '和', '贝尔格莱德', '会议']"
1979,欺凌,1,"['工人', '和', '挑土', '工人', '饱尝', '了', '地主', '资本家', '的', '压榨']"
1979,欺凌,2,"['第五', '在', '越南', '继续', '如此', '非正义', '地', '侵略', '和', '柬埔寨', '的', '情况', '下', '再次', '召开', '安理会', '以便', '采取']"
1979,欺凌,3,"['或', '糕饼', '怎能', '容许', '有人', '掠夺', '窃取', '分割', '和']"
1979,欺凌,4,"['附近', '的', '圆明园', '遗址', '深深感到', '要', '保证', '中华民族', '受', '的', '历史', '不再', '重演', '就', '必须', '使', '新', '中国']"
1979,欺凌,5,"['替', '一个', '被', '的', '小国', '说', '几句', '伸张正义', '的', '公道话', '怎么', '成']"
1979,欺凌,6,"['了', '不结盟', '政策', '的', '基本', '原则', '变成', '了', '一个', '弱小', '邻国', '的', '霸权主义', '国家']"
1979,欺凌,7,"['我们', '广大', '华侨', '就', '没有', '地位', '就', '受', '人', '压迫']"
1979,欺凌,8,"['但是', '没有', '想到', '在', '旧社会', '受尽', '了', '压迫', '和', '饥饿', '的', '母亲', '已经', '离开', '了', '人世']"
1979,欺凌,9,"['的', '战士', '们', '身上', '我', '又', '看到', '了', '被压迫', '了', '千百年', '的', '人民', '奋起', '抗争', '的', '那种', '排山倒海']"
1979,欺凌,10,"['胜利', '鼓舞', '了', '世界', '上', '所有', '备受', '霸权主义', '者', '压迫', '的', '人民', '联合', '起来', '进行', '斗争']"
1979,欺凌,11,"['诚意', '的', '和平统一', '建议', '的', '不能容忍', '的', '挑战', '和', '是', '对', '朝鲜', '和', '亚洲', '和平', '的', '严重威胁']"
1979,欺凌,12,"['封建', '军阀', '的', '统治', '下', '受尽', '了', '帝国主义', '的', '压迫']"
1979,欺凌,13,"['我们', '祖国', '独立', '强盛', '再也', '不', '受', '帝国主义', '的', '和', '压迫', '了', '我们', '民族', '贫穷落后', '的', '面貌', '也']"
1979,欺凌,14,"['中国', '人民', '再也不能', '忍受', '帝国主义', '和', '封建主义', '的', '了', '打倒', '帝国主义', '打倒', '封建主义', '成', '了', '中国', '人民']"
